City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
berlevag,70.86,29.09,62.6,82,75,8.2,NO,1595022739
college,64.86,-147.8,66.2,63,75,3.6,US,1595022739
eureka,40.8,-124.16,69.01,77,20,4.6,US,1595022700
valleyview,55.07,-117.29,63.27,73,34,6.12,CA,1595022739
buluang,13.31,123.34,77.38,86,100,1.03,PH,1595022739
mahebourg,-20.41,57.7,69.8,73,40,6.2,MU,1595022740
tilichiki,60.47,166.1,50.32,100,100,1.89,RU,1595022740
meadow lake,34.8,-106.54,97.0,19,75,2.6,US,1595022740
tiksi,71.69,128.87,44.29,72,91,5.15,RU,1595022740
yulara,-25.24,130.99,37.4,44,0,3.1,AU,1595022740
utiroa,-25.24,130.99,37.4,44,0,3.1,AU,1595022740
arlit,18.74,7.39,85.57,51,59,8.84,NE,1595022740
dzhalil,55.02,52.74,58.87,84,16,2.28,RU,1595022740
asau,46.43,26.4,60.01,95,49,1.21,RO,1595022740
west wendover,40.74,-114.07,96.8,8,1,3.1,US,1595022741
natal,-5.79,-35.21,77.0,88,40,2.6,BR,1595022590
campoverde,-8.48,-74.81,87.8,58,75,1,PE,1595022741
viesca,25.35,-102.8,95.0,24,40,6.2,MX,1595022741
margate,51.38,1.39,66.99,73,0,0.89,GB,1595022741
dingle,11,122.67,76.62,85,99,2.55,PH,1595022619
olafsvik,64.89,-23.71,46.02,81,78,14.01,IS,1595022741
ichnya,50.86,32.39,59.92,82,13,1.25,UA,1595022741
samalaeulu,50.86,32.39,59.92,82,13,1.25,UA,1595022741
vondrozo,-22.82,47.28,52.32,92,49,1.31,MG,1595022742
maulvi bazar,-22.82,47.28,52.32,92,49,1.31,MG,1595022742
svetlogorsk,52.63,29.73,58.05,90,3,2.12,BY,1595022742
voh,-20.97,164.7,70.88,51,0,0.51,NC,1595022742
pangnirtung,66.15,-65.71,50.0,81,90,4.1,CA,1595022742
ribeira brava,32.65,-17.07,71.6,83,20,1.5,PT,1595022742
wanlaweyn,2.62,44.89,74.84,76,100,7.81,SO,1595022742
toropets,56.5,31.64,52.25,76,0,1.42,RU,1595022742
saskylakh,71.92,114.08,50.27,82,99,3.51,RU,1595022742
mecca,21.43,39.83,87.69,20,0,2.45,SA,1595022742
quatre cocos,-20.21,57.76,69.8,73,40,6.2,MU,1595022743
omboue,-1.57,9.26,72.43,90,89,2.64,GA,1595022743
singaraja,-8.11,115.09,76.87,73,6,3.05,ID,1595022743
nobeoka,32.58,131.67,73.94,79,100,0.98,JP,1595022743
minab,27.15,57.08,89.6,75,76,1,IR,1595022743
saldanha,-33.01,17.94,51.8,66,0,2.6,ZA,1595022743
waddan,29.16,16.14,82.02,41,0,6.41,LY,1595022743
dongsheng,39.82,109.98,63.34,73,64,2.21,CN,1595022743
apple valley,34.5,-117.19,93.99,19,0,6.71,US,1595022500
farafangana,-22.82,47.83,62.89,84,77,3.5,MG,1595022744
jiddah,-22.82,47.83,62.89,84,77,3.5,MG,1595022744
seoul,37.57,126.98,73.4,88,40,0.74,KR,1595022661
richards bay,-28.78,32.04,56.39,76,0,3.69,ZA,1595022545
makakilo city,21.35,-158.09,86.0,70,75,4.6,US,1595022744
floro,61.6,5.03,57.2,76,75,4.6,NO,1595022744
sur,22.57,59.53,84.02,73,92,0.65,OM,1595022745
biskamzha,53.45,89.53,58.42,87,99,1.47,RU,1595022745
najran,17.49,44.13,91.4,19,20,4.6,SA,1595022745
antalaha,-14.9,50.28,68.18,79,47,6.13,MG,1595022745
tabuk,17.42,121.44,74.08,87,100,1.15,PH,1595022745
rudnyy,52.96,63.12,73.4,60,19,3,KZ,1595022745
dandong,40.13,124.39,67.75,81,76,1.06,CN,1595022745
mandali,33.75,45.55,91.24,13,0,3.47,IQ,1595022745
pochutla,15.74,-96.47,89.6,55,20,3.38,MX,1595022745
barabai,-2.58,115.38,72.5,94,8,0.67,ID,1595022745
bonthe,7.53,-12.51,76.46,81,54,3.52,SL,1595022745
kaeo,-35.1,173.78,57.99,3,100,2.79,NZ,1595022746
saint anthony,45.02,-93.22,91.4,43,20,6.2,US,1595022746
odessa,46.48,30.73,69.8,49,19,2,UA,1595022656
kamenskoye,46.48,30.73,69.8,49,19,2,UA,1595022656
kipini,-2.53,40.53,77.68,65,63,12.5,KE,1595022746
bani walid,31.76,13.99,73.83,73,0,3.19,LY,1595022746
tottori,35.5,134.23,71.6,94,75,1.5,JP,1595022556
billings,45.78,-108.5,95.0,14,75,4.1,US,1595022634
hirara,24.8,125.28,82.4,88,75,4.6,JP,1595022746
whitehorse,60.72,-135.05,66.0,48,75,5.7,CA,1595022746
samoded,63.61,40.51,49.08,98,4,2.64,RU,1595022746
bandarbeyla,9.49,50.81,81.66,51,73,12.74,SO,1595022747
vanimo,-2.67,141.3,78.96,80,40,1.48,PG,1595022747
tam ky,15.57,108.48,78.8,83,20,2.1,VN,1595022747
simao,22.79,100.97,65.97,96,100,0.86,CN,1595022747
launceston,-41.45,147.17,44.01,100,75,3.1,AU,1595022747
rungata,-41.45,147.17,44.01,100,75,3.1,AU,1595022747
mehamn,71.04,27.85,59.0,82,75,8.2,NO,1595022747
sillod,20.3,75.65,74.59,89,25,3.63,IN,1595022747
riyadh,24.69,46.72,91.4,18,0,1,SA,1595022468
daud khel,32.88,71.57,97.05,36,0,1.33,PK,1595022747
pekalongan,-6.89,109.68,61.0,92,13,2.11,ID,1595022748
belvedere marittimo,39.62,15.86,72.25,72,3,1.43,IT,1595022748
milkovo,54.72,158.62,63.86,73,94,1.35,RU,1595022748
pilar,-9.6,-35.96,71.6,94,90,2.97,BR,1595022748
maragogi,-9.01,-35.22,74.97,85,44,6.4,BR,1595022748
weihai,37.5,122.11,70.23,87,91,4.51,CN,1595022748
kerouane,9.27,-9.02,69.71,93,91,1.47,GN,1595022748
kachikau,9.27,-9.02,69.71,93,91,1.47,GN,1595022748
padang,-0.95,100.35,77.25,77,82,1.92,ID,1595022677
sao paulo de olivenca,-3.38,-68.87,80.78,82,84,0.76,BR,1595022749
xining,36.62,101.77,53.53,86,100,0.65,CN,1595022663
cabedelo,-6.98,-34.83,73.4,100,75,5.1,BR,1595022605
paris,48.85,2.35,73.99,64,55,1.5,FR,1595022603
hays,30.05,-98.03,100.0,45,40,2.68,US,1595022749
half moon bay,37.46,-122.43,81.0,56,5,7.7,US,1595022695
fairbanks,64.84,-147.72,66.2,63,75,3.6,US,1595022627
kahului,20.89,-156.47,91.4,52,40,10.3,US,1595022595
talara,-4.58,-81.27,75.2,69,3,7.2,PE,1595022451
kysyl-syr,63.9,122.76,58.3,96,100,3.3,RU,1595022749
havre-saint-pierre,50.23,-63.6,68.0,52,75,2.6,CA,1595022750
roald,62.58,6.13,57.2,76,7,3.1,NO,1595022750
nadym,65.53,72.52,55.87,79,100,6.45,RU,1595022750
bacuit,65.53,72.52,55.87,79,100,6.45,RU,1595022750
quang ngai,15.12,108.8,76.26,83,76,1.4,VN,1595022480
makokou,0.57,12.86,70.07,93,96,1.7,GA,1595022750
santa cruz,-17.8,-63.17,84.2,54,20,6.2,BO,1595022713
fukue,32.69,128.84,74.1,82,100,1.73,JP,1595022750
iskateley,67.68,53.15,53.74,85,99,3.52,RU,1595022750
batagay,67.63,134.63,53.56,82,100,2.04,RU,1595022751
lodja,-3.48,23.43,72.68,53,28,0.44,CD,1595022751
satitoa,-3.48,23.43,72.68,53,28,0.44,CD,1595022751
paracuru,-3.41,-39.03,80.01,72,48,6.26,BR,1595022751
labutta,-3.41,-39.03,80.01,72,48,6.26,BR,1595022751
shenkursk,62.11,42.9,55.98,97,82,3.45,RU,1595022751
beniganj,27.28,80.45,87.78,63,24,3.41,IN,1595022751
altay,47.87,88.12,68.7,36,0,2.84,CN,1595022751
jiangyou,31.77,104.72,74.46,89,83,0.74,CN,1595022751
mussomeli,37.58,13.75,73.99,68,32,2.25,IT,1595022751
brandon,27.94,-82.29,86.0,78,40,4.6,US,1595022662
kantunil,20.8,-89.03,82.4,69,75,4.1,MX,1595022752
payakumbuh,-0.22,100.63,69.15,90,74,0.42,ID,1595022752
wanaka,-44.7,169.15,30.0,88,0,2.24,NZ,1595022752
abu kamal,34.45,40.92,85.24,14,0,5.63,SY,1595022752
inderborskiy,34.45,40.92,85.24,14,0,5.63,SY,1595022752
solana beach,32.99,-117.27,82.0,64,40,3.1,US,1595022752
gueret,46.17,1.87,64.4,68,5,2.1,FR,1595022752
urdzhar,46.17,1.87,64.4,68,5,2.1,FR,1595022752
port blair,11.67,92.75,79.99,80,86,1.91,IN,1595022752
amapa,1,-52,73.38,95,88,0.51,BR,1595022752
paamiut,61.99,-49.67,47.7,71,31,3.25,GL,1595022700
san pedro,14.35,121.02,80.6,78,97,2.16,PH,1595022752
kuna,43.49,-116.42,93.99,20,1,4.1,US,1595022753
santiago,-33.46,-70.65,55.4,66,90,1.06,CL,1595022357
olinda,-8.01,-34.86,73.4,94,90,7.7,BR,1595022753
kinkala,-4.36,14.76,71.6,88,50,2.6,CG,1595022753
enterprise,36.03,-115.24,104.0,11,20,2.6,US,1595022753
chernyshevskiy,63.01,112.47,52.9,84,68,2.85,RU,1595022753
fayaoue,-20.65,166.53,69.89,51,0,2.33,NC,1595022753
papillion,41.15,-96.04,93.2,59,75,6.2,US,1595022753
husavik,66.04,-17.34,44.6,87,90,11.3,IS,1595022753
karkaralinsk,66.04,-17.34,44.6,87,90,11.3,IS,1595022753
mabaruma,8.2,-59.78,78.96,86,100,1.99,GY,1595022754
smithers,54.78,-127.17,64.4,55,75,3.44,CA,1595022754
nenjiang,49.18,125.22,71.8,85,83,2.6,CN,1595022754
seda,57.65,25.75,60.01,88,19,0.62,LV,1595022754
manzanillo,20.34,-77.12,86.88,68,76,0.82,CU,1595022754
dingli,35.86,14.38,75.99,83,14,4.1,MT,1595022754
sao miguel do araguaia,-13.28,-50.16,76.46,34,0,0.92,BR,1595022754
calama,-22.47,-68.93,69.8,6,20,6.2,CL,1595022755
sioux lookout,50.1,-91.92,82.4,39,75,3.1,CA,1595022755
montepuez,-13.13,39,60.17,75,0,5.28,MZ,1595022755
zaysan,47.47,84.87,72.86,34,0,2.49,KZ,1595022755
isla vista,34.41,-119.86,77.0,56,1,5.7,US,1595022755
pisco,-13.7,-76.22,64.4,72,7,7.2,PE,1595022741
sept-iles,50.2,-66.38,64.0,82,75,4.6,CA,1595022755
beringovskiy,63.05,179.32,54.09,76,78,2.73,RU,1595022755
marsa matruh,31.35,27.25,77.0,78,40,2.6,EG,1595022755
drammen,59.74,10.2,62.01,36,100,1.79,NO,1595022517
shingu,33.73,135.98,75.07,92,31,0.85,JP,1595022477
peplos,40.96,26.27,64.81,66,0,3.39,GR,1595022756
piedras negras,28.7,-100.52,98.6,50,20,5.1,MX,1595022756
sulangan,11.14,123.72,83.34,75,62,4.99,PH,1595022756
dunedin,-45.87,170.5,44.01,77,4,0.89,NZ,1595022756
santa fe,-31.63,-60.7,54.0,94,100,0.45,AR,1595022756
batemans bay,-35.72,150.18,44.01,92,12,2.24,AU,1595022756
bhanpura,24.51,75.75,84.09,72,77,3.31,IN,1595022757
tianpeng,30.99,103.94,77.0,78,20,2.1,CN,1595022757
luganville,-15.53,167.17,75.2,94,75,0.5,VU,1595022757
williams lake,52.14,-122.14,60.8,51,75,4.6,CA,1595022757
koumac,-20.57,164.28,69.21,55,0,2.17,NC,1595022757
las palmas,28.42,-14.01,73.4,88,20,4.1,ES,1595022757
lamu,-2.27,40.9,76.77,67,93,10.97,KE,1595022757
kitimat,54.05,-128.65,66.2,59,75,2.1,CA,1595022639
hobyo,5.35,48.53,77.38,71,34,12.56,SO,1595022757
sobolevo,54.43,31.9,54.82,90,74,1.73,RU,1595022758
nea alikarnassos,35.33,25.17,75.99,78,0,4.1,GR,1595022758
lobau,51.1,14.67,55.99,91,1,1.11,DE,1595022758
elat,29.56,34.95,89.6,35,0,7.2,IL,1595022676
san miguel el alto,21.02,-102.35,76.6,49,45,2.14,MX,1595022758
biltine,14.53,20.92,82.69,59,90,6.11,TD,1595022758
massaguet,12.48,15.44,78.8,83,52,2.6,TD,1595022758
kotido,2.98,34.13,67.06,85,100,2.13,UG,1595022758
paungde,18.48,95.5,77.38,93,100,4.64,MM,1595022758
bargal,18.48,95.5,77.38,93,100,4.64,MM,1595022758
felsoszentivan,46.2,19.19,55.6,97,100,0.89,HU,1595022758
bontang,0.13,117.5,76.68,89,29,2.87,ID,1595022759
nacala,-14.54,40.67,67.6,77,10,5.55,MZ,1595022759
hovd,48.01,91.64,61.54,48,0,0.61,MN,1595022759
bell ville,-32.63,-62.69,57.0,71,68,0.89,AR,1595022759
astaneh-ye ashrafiyeh,37.26,49.94,77.95,62,0,0.69,IR,1595022759
naron,43.52,-8.15,69.01,65,0,1.34,ES,1595022759
malakal,9.53,31.66,71.64,89,76,0.9,SS,1595022759
pringsewu,-5.36,104.97,72.93,94,26,1.29,ID,1595022759
ugento,39.93,18.16,73.99,94,40,6.2,IT,1595022759
jamame,0.07,42.75,76.01,76,100,7.99,SO,1595022759
knysna,-34.04,23.05,64.4,22,0,1.5,ZA,1595022760
longyan,25.11,117.02,74.95,86,94,1.44,CN,1595022760
dori,14.04,-0.03,91.24,43,20,3.72,BF,1595022760
bayanday,53.07,105.51,52.02,93,83,3.26,RU,1595022760
ghanzi,-21.57,21.78,45.37,58,0,2.73,BW,1595022760
tyazhinskiy,56.12,88.52,47.16,85,16,2.56,RU,1595022760
marquard,-28.66,27.43,38.28,70,0,1,ZA,1595022760
tasbuget,-28.66,27.43,38.28,70,0,1,ZA,1595022760
zemio,5.03,25.14,69.26,95,100,0.97,CF,1595022761
mookane,-23.69,26.66,48.72,43,0,2.32,BW,1595022761
havoysund,71,24.66,62.6,77,75,6.2,NO,1595022761
puerto del rosario,28.5,-13.86,73.4,88,20,4.1,ES,1595022761
tabou,4.42,-7.35,75.2,81,0,3.04,CI,1595022761
hami,42.8,93.45,76.05,19,0,2.9,CN,1595022762
hualmay,-11.1,-77.61,63.05,73,8,4.25,PE,1595022762
peniche,39.36,-9.38,68.0,91,0,3.4,PT,1595022514
bonavista,48.65,-53.11,53.01,74,62,5.83,CA,1595022762
vilhena,-12.74,-60.15,87.8,33,0,3.6,BR,1595022516
tual,-5.67,132.75,78.89,84,62,9.04,ID,1595022762
tubruq,-5.67,132.75,78.89,84,62,9.04,ID,1595022762
bocaranga,-5.67,132.75,78.89,84,62,9.04,ID,1595022762
dabakala,8.37,-4.43,72.48,92,97,1.77,CI,1595022762
nanma,36.18,118.16,66.69,85,63,2.77,CN,1595022763
dipkarpaz,36.18,118.16,66.69,85,63,2.77,CN,1595022763
chengkung,36.18,118.16,66.69,85,63,2.77,CN,1595022763
opuwo,-18.06,13.84,55.33,39,0,6.07,NA,1595022763
henzada,-18.06,13.84,55.33,39,0,6.07,NA,1595022763
rio grande,-32.03,-52.1,59.0,96,76,1.34,BR,1595022512
robertson,36.52,-86.87,91.0,76,100,3.32,US,1595022763
port-gentil,-0.72,8.78,77.0,88,75,5.7,GA,1595022763
muli,2.92,73.57,84.09,70,93,3.34,MV,1595022763
kiama,-34.68,150.87,51.01,87,50,2.28,AU,1595022763
salinas,36.68,-121.66,73.99,60,75,7.7,US,1595022621
vanavara,60.34,102.28,48.83,89,98,4.08,RU,1595022763
mayo,38.89,-76.51,91.4,74,1,5.7,US,1595022764
sorland,67.67,12.69,53.6,93,40,2.1,NO,1595022764
bur gabo,67.67,12.69,53.6,93,40,2.1,NO,1595022764
samusu,67.67,12.69,53.6,93,40,2.1,NO,1595022764
daru,-9.08,143.21,75.97,85,90,6.3,PG,1595022764
bjelovar,45.9,16.85,57.2,87,74,2.1,HR,1595022764
gagino,55.23,45.03,55.81,92,70,1.41,RU,1595022764
takapau,-40.03,176.35,50.0,95,100,1.79,NZ,1595022764
talawdi,-40.03,176.35,50.0,95,100,1.79,NZ,1595022764
boa vista,2.82,-60.67,82.4,74,75,1.5,BR,1595022574
severo-kurilsk,50.68,156.12,51.39,86,100,4.03,RU,1595022765
roma,43.21,-75.46,82.4,54,20,5.1,US,1595022605
tigil,57.8,158.67,57.85,76,100,6.67,RU,1595022765
