City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
cumanayagua,22.15,-80.2,77.0,88,97,1.5,CU
gambela,8.25,34.58,66.76,90,93,0.88,ET
abeokuta,7.15,3.35,77.0,88,40,1.5,NG
severodvinsk,64.56,39.83,53.6,100,0,2.0,RU
xining,36.62,101.77,51.53,60,97,1.31,CN
buzuluk,52.78,52.26,63.03,90,0,2.88,RU
alihe,50.57,123.72,59.13,93,100,0.47,CN
virginia beach,36.85,-75.98,98.01,47,75,3.1,US
sistranda,63.73,8.83,55.4,87,75,2.1,NO
payakumbuh,-0.22,100.63,69.6,89,30,0.71,ID
litovko,49.24,135.17,69.66,94,100,2.86,RU
tura,25.52,90.22,74.61,98,99,3.09,IN
elk city,35.41,-99.4,96.8,32,1,6.2,US
gari,59.43,62.35,65.59,74,73,4.01,RU
maniitsoq,65.42,-52.9,50.4,81,93,1.15,GL
harper,4.38,-7.72,76.17,88,84,4.36,LR
okhotsk,59.38,143.3,57.99,86,100,2.58,RU
lingao,19.91,109.69,81.05,79,100,5.19,CN
dragoman,42.92,22.93,63.0,88,75,1.0,BG
daura,11.55,11.41,82.6,56,36,2.78,NG
takoradi,4.88,-1.76,75.38,90,4,3.22,GH
padang,-0.95,100.35,73.4,94,40,1.5,ID
zvishavane,-20.33,30.07,50.95,65,0,1.46,ZW
douentza,15.0,-2.95,88.11,45,0,2.9,ML
makokou,0.57,12.86,70.65,91,77,0.55,GA
bouna,9.27,-3.0,75.87,76,20,2.91,CI
loandjili,-4.76,11.86,75.2,88,90,2.1,CG
kalaswala,32.2,74.65,80.6,83,40,3.58,PK
igarka,67.47,86.58,53.49,70,100,4.19,RU
oistins,13.07,-59.53,86.0,62,20,6.2,BB
anchorage,61.22,-149.9,64.4,63,75,2.1,US
iquique,-20.22,-70.14,60.8,67,75,4.1,CL
kasongo-lunda,-6.47,16.82,69.98,34,60,1.1,CD
maneadero,31.72,-116.57,84.99,34,9,5.36,MX
kangaatsiaq,68.31,-53.46,49.96,63,95,4.65,GL
pyaozerskiy,65.83,31.17,64.47,75,2,1.95,RU
chiapilla,16.52,-92.73,89.6,52,75,6.2,MX
talcahuano,-36.72,-73.12,57.2,82,68,4.1,CL
buncrana,55.13,-7.45,51.85,76,83,4.04,IE
sanwer,22.98,75.83,78.89,84,70,6.06,IN
isangel,-19.55,169.27,69.8,83,40,0.5,VU
sarahan,31.52,77.8,61.34,72,18,0.74,IN
krasnovishersk,60.41,57.08,62.71,68,80,3.24,RU
hammerfest,70.66,23.68,53.6,81,100,2.6,NO
berga,60.39,5.33,53.6,81,40,2.6,NO
tetiz,20.97,-89.93,100.0,37,75,3.96,MX
abonnema,4.71,6.79,73.94,95,100,1.42,NG
simala,9.97,123.62,78.8,88,90,1.45,PH
morant bay,17.88,-76.41,87.8,66,75,9.3,JM
kuandian,40.73,124.78,64.63,95,100,1.17,CN
turbat,26.0,63.04,87.69,69,72,3.37,PK
dunedin,-45.87,170.5,44.01,80,44,4.47,NZ
sechura,-5.56,-80.82,71.62,60,1,8.02,PE
pimentel,-6.84,-79.93,64.2,78,33,7.9,PE
rawson,-43.3,-65.1,45.97,81,100,7.12,AR
qarchi gak,37.04,66.79,95.0,41,0,1.0,AF
changping,40.22,116.22,80.01,88,0,1.0,CN
bubaque,11.28,-15.83,80.19,81,100,7.18,GW
manggar,-2.88,108.27,80.38,83,84,4.17,ID
tautira,-17.73,-149.15,80.6,69,40,3.1,PF
koumac,-20.57,164.28,68.43,70,17,1.89,NC
watrous,51.67,-105.47,67.53,64,98,3.47,CA
pemangkat,1.17,108.97,76.01,83,64,1.67,ID
pangnirtung,66.15,-65.71,60.8,67,90,6.2,CA
yerbogachen,61.28,108.01,47.26,86,99,0.58,RU
pozo colorado,-23.49,-58.8,84.38,41,0,3.43,PY
deer lake,49.17,-57.43,73.4,56,75,6.7,CA
ambositra,-20.52,47.25,48.79,85,95,2.69,MG
birao,10.28,22.79,71.26,91,100,0.31,CF
udachnyy,66.42,112.4,53.6,93,90,3.0,RU
rocha,-34.48,-54.33,67.39,89,95,2.24,UY
veraval,20.9,70.37,83.62,81,99,6.19,IN
sinnamary,5.38,-52.95,81.82,76,86,4.44,GF
eschwege,51.18,10.07,66.0,69,85,0.57,DE
calvinia,-31.47,19.78,53.53,38,0,2.91,ZA
mitsamiouli,-11.38,43.28,76.55,67,66,3.82,KM
beloha,-25.17,45.05,61.68,80,0,4.97,MG
